Settle time (s),Measured Distance (cm), Error to real distance = 0 cm
0.094,6868.85,-6868.85
0.094,6813.25,-6813.25
0.095,6868.57,-6868.57
0.095,6868.97,-6868.97
0.095,6813.52,-6813.52
0.096,6868.64,-6868.64
0.096,6868.23,-6868.23
0.096,6812.77,-6812.77
0.097,6868.59,-6868.59
0.097,6868.58,-6868.58
0.097,6812.8,-6812.8
0.098,6868.04,-6868.04
0.098,6868.42,-6868.42
0.098,6812.73,-6812.73
0.099,6868.01,-6868.01
0.099,6867.86,-6867.86
0.099,6813.11,-6813.11
0.1,6868.38,-6868.38
0.1,6868.21,-6868.21
0.1,6813.14,-6813.14
0.101,6867.87,-6867.87
0.101,6868.13,-6868.13
0.101,6812.55,-6812.55
0.102,6867.75,-6867.75
0.102,6867.43,-6867.43
0.102,6812.62,-6812.62
0.103,6868.4,-6868.4
0.103,6868.23,-6868.23
0.103,6812.84,-6812.84
0.104,6868.25,-6868.25
0.104,6868.49,-6868.49
0.104,6813.45,-6813.45
0.105,825.26,-825.26
0.105,6868.64,-6868.64
0.105,6868.37,-6868.37
0.106,6868.61,-6868.61
0.106,6868.5,-6868.5
0.106,6868.82,-6868.82
0.107,6868.15,-6868.15
0.107,6868.37,-6868.37
0.107,6868.81,-6868.81
0.108,6868.47,-6868.47
0.108,6868.63,-6868.63
0.108,6812.44,-6812.44
0.109,6867.91,-6867.91
0.109,6867.72,-6867.72
0.109,6812.94,-6812.94
0.11,6867.58,-6867.58
0.11,6867.68,-6867.68
0.11,6812.2,-6812.2
0.111,6868.22,-6868.22
0.111,6867.97,-6867.97
0.111,6812.63,-6812.63
0.112,6867.68,-6867.68
0.112,6868.8,-6868.8
0.112,6813.38,-6813.38
0.113,6868.95,-6868.95
0.113,6869.23,-6869.23
0.113,6813.44,-6813.44
0.114,6868.68,-6868.68
0.114,6868.61,-6868.61
0.114,6813.47,-6813.47
0.115,6868.71,-6868.71
0.115,6869.0,-6869.0
0.115,6813.3,-6813.3
0.116,6868.85,-6868.85
0.116,6869.21,-6869.21
0.116,6813.32,-6813.32
0.117,6869.21,-6869.21
0.117,6868.78,-6868.78
0.117,6812.19,-6812.19
0.118,6867.73,-6867.73
0.118,6868.94,-6868.94
0.118,6813.11,-6813.11
0.119,6868.54,-6868.54
0.119,1059.06,-1059.06
0.119,318.05,-318.05
0.12,189.63,-189.63
0.12,250.63,-250.63
0.12,170.28,-170.28
0.121,1046.99,-1046.99
0.121,6812.92,-6812.92
0.121,6868.27,-6868.27
0.122,6868.04,-6868.04
0.122,6813.14,-6813.14
0.122,6868.29,-6868.29
0.123,6868.56,-6868.56
0.123,6812.96,-6812.96
0.123,6296.93,-6296.93
0.124,6868.25,-6868.25
0.124,6868.4,-6868.4
0.124,6812.58,-6812.58
0.125,6867.79,-6867.79
0.125,6868.25,-6868.25
0.125,6812.53,-6812.53
0.126,6867.65,-6867.65
0.126,6868.21,-6868.21
0.126,6812.36,-6812.36
0.127,6867.93,-6867.93
0.127,6868.28,-6868.28
0.127,6813.2,-6813.2
0.128,6868.64,-6868.64
0.128,6868.15,-6868.15
0.128,6812.99,-6812.99
0.129,6868.68,-6868.68
0.129,3261.72,-3261.72
0.129,6868.73,-6868.73
0.13,6868.97,-6868.97
0.13,6869.12,-6869.12
0.13,4209.77,-4209.77
0.131,6869.31,-6869.31
0.131,6869.31,-6869.31
0.131,6869.23,-6869.23
0.132,6813.61,-6813.61
0.132,6868.92,-6868.92
0.132,6869.77,-6869.77
0.133,6813.83,-6813.83
0.133,6868.9,-6868.9
0.133,6868.69,-6868.69
0.134,6813.06,-6813.06
0.134,6868.35,-6868.35
0.134,6868.9,-6868.9
0.135,6813.2,-6813.2
0.135,6869.33,-6869.33
0.135,6868.87,-6868.87
0.136,6813.58,-6813.58
0.136,6868.67,-6868.67
0.136,6868.78,-6868.78
0.137,6813.63,-6813.63
0.137,6869.57,-6869.57
0.137,6869.42,-6869.42
0.138,6813.42,-6813.42
0.138,6868.97,-6868.97
0.138,6869.41,-6869.41
0.139,6813.52,-6813.52
0.139,6869.02,-6869.02
0.139,3420.07,-3420.07
0.14,6868.71,-6868.71
0.14,6868.94,-6868.94
0.14,6868.64,-6868.64
0.141,6869.09,-6869.09
0.141,6868.3,-6868.3
0.141,6812.63,-6812.63
0.142,6868.88,-6868.88
0.142,6869.26,-6869.26
0.142,6813.16,-6813.16
0.143,6868.74,-6868.74
0.143,6869.12,-6869.12
0.143,6813.15,-6813.15
0.144,6868.8,-6868.8
0.144,6868.46,-6868.46
0.144,6813.01,-6813.01
0.145,6868.9,-6868.9
0.145,2540.93,-2540.93
0.145,6868.56,-6868.56
0.146,6813.35,-6813.35
0.146,6869.5,-6869.5
0.146,6869.4,-6869.4
0.147,6813.92,-6813.92
0.147,6868.95,-6868.95
0.147,6868.75,-6868.75
0.148,6813.01,-6813.01
0.148,6868.75,-6868.75
0.148,6869.23,-6869.23
0.149,6813.37,-6813.37
0.149,6868.75,-6868.75
0.149,6868.56,-6868.56
0.15,6813.3,-6813.3
0.15,6868.66,-6868.66
0.15,6869.09,-6869.09
0.151,6813.66,-6813.66
0.151,6868.21,-6868.21
0.151,6868.18,-6868.18
0.152,679.6,-679.6
0.152,6868.76,-6868.76
0.152,6868.2,-6868.2
0.153,6813.27,-6813.27
0.153,6869.02,-6869.02
0.153,6868.59,-6868.59
0.154,6813.37,-6813.37
0.154,6868.52,-6868.52
0.154,6868.15,-6868.15
0.155,4482.61,-4482.61
0.155,6869.0,-6869.0
0.155,6869.12,-6869.12
0.156,6813.47,-6813.47
0.156,6868.65,-6868.65
0.156,6868.95,-6868.95
0.157,6813.92,-6813.92
0.157,6869.24,-6869.24
0.157,6869.14,-6869.14
0.158,6813.71,-6813.71
0.158,6868.71,-6868.71
0.158,103.98,-103.98
0.159,426.67,-426.67
0.159,346.74,-346.74
0.159,404.05,-404.05
0.16,1095.59,-1095.59
0.16,6868.88,-6868.88
0.16,6868.69,-6868.69
0.161,6868.71,-6868.71
0.161,6813.16,-6813.16
0.161,6869.01,-6869.01
0.162,6868.8,-6868.8
0.162,3218.73,-3218.73
0.162,6869.69,-6869.69
0.163,6813.92,-6813.92
0.163,6869.57,-6869.57
